iter	Passed	Remaining
0	0	23
1	0	22
2	0	22
3	0	20
4	1	20
5	1	20
6	1	20
7	1	19
8	1	19
9	2	19
10	2	19
11	2	19
12	2	19
13	3	18
14	3	18
15	3	18
16	3	18
17	3	18
18	4	17
19	4	17
20	4	17
21	4	17
22	5	17
23	5	16
24	5	16
25	5	16
26	6	16
27	6	16
28	6	15
29	6	15
30	6	15
31	7	15
32	7	14
33	7	14
34	7	14
35	8	14
36	8	14
37	8	13
38	8	13
39	8	13
40	9	13
41	9	12
42	9	12
43	9	12
44	9	11
45	10	11
46	10	11
47	10	11
48	10	11
49	10	10
50	11	10
51	11	10
52	11	10
53	11	10
54	11	9
55	12	9
56	12	9
57	12	9
58	12	8
59	12	8
60	13	8
61	13	8
62	13	8
63	13	7
64	14	7
65	14	7
66	14	7
67	14	6
68	15	6
69	15	6
70	15	6
71	15	6
72	16	5
73	16	5
74	16	5
75	16	5
76	16	5
77	17	4
78	17	4
79	17	4
80	17	4
81	18	3
82	18	3
83	18	3
84	18	3
85	19	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	2
91	20	1
92	20	1
93	20	1
94	21	1
95	21	0
96	21	0
97	21	0
98	22	0
99	22	0
