iter	Passed	Remaining
0	0	370
1	0	340
2	0	313
3	1	299
4	1	297
5	1	290
6	2	287
7	2	283
8	2	290
9	2	294
10	3	294
11	3	296
12	3	299
13	4	297
14	4	299
15	4	297
16	5	295
17	5	293
18	5	292
19	5	290
20	6	288
21	6	289
22	6	288
23	7	289
24	7	288
25	7	287
26	7	286
27	8	285
28	8	288
29	9	292
30	9	292
31	9	296
32	10	298
33	10	298
34	10	300
35	11	304
36	11	304
37	12	305
38	12	306
39	12	308
40	13	308
41	13	307
42	13	306
43	14	308
44	14	308
45	14	307
46	15	308
47	15	308
48	15	308
49	16	307
50	16	306
51	16	305
52	17	304
53	17	304
54	17	303
55	17	301
56	18	300
57	18	300
58	18	299
59	19	299
60	19	299
61	19	299
62	20	299
63	20	299
64	20	298
65	21	298
66	21	298
67	21	297
68	22	305
69	23	305
70	23	304
71	23	303
72	23	303
73	24	303
74	24	301
75	24	302
76	25	302
77	25	302
78	25	302
79	26	301
80	26	300
81	26	301
82	27	298
83	27	298
84	27	299
85	28	299
86	28	300
87	28	299
88	29	300
89	29	299
90	30	300
91	31	306
92	31	306
93	31	306
94	32	305
95	32	304
96	32	303
97	33	304
98	33	303
99	33	302
100	33	302
101	34	302
102	34	301
103	34	301
104	35	300
105	35	300
106	36	300
107	36	300
108	36	299
109	36	298
110	37	298
111	37	297
112	37	296
113	38	296
114	38	295
115	38	295
116	39	294
117	39	294
118	39	294
119	40	293
120	40	293
121	40	291
122	40	291
123	41	290
124	41	289
125	41	289
126	41	288
127	42	287
128	42	288
129	43	287
130	43	287
131	43	287
132	44	287
133	44	287
134	44	286
135	45	286
136	45	286
137	45	286
138	46	285
139	46	284
140	46	284
141	46	282
142	47	281
143	47	281
144	47	281
145	47	280
146	48	279
147	48	279
148	48	279
149	49	279
150	49	278
151	49	278
152	50	277
153	50	277
154	50	276
155	51	276
156	51	276
157	51	275
158	52	275
159	52	274
160	52	273
161	52	273
162	53	273
163	53	272
164	53	272
165	54	272
166	54	272
167	54	271
168	55	271
169	55	271
170	55	270
171	56	270
172	56	270
173	56	269
174	57	269
175	57	269
176	57	269
177	58	269
178	58	268
179	58	268
180	59	268
181	59	268
182	59	267
183	60	266
184	60	266
185	60	266
186	61	265
187	61	265
188	61	265
189	62	264
190	62	264
191	62	263
192	63	263
193	63	263
194	63	262
195	63	262
196	64	262
197	64	261
198	64	261
199	65	260
200	65	260
201	65	260
202	66	259
203	66	259
204	66	259
205	67	259
206	67	258
207	67	258
208	68	258
209	68	258
210	68	257
211	69	257
212	69	256
213	69	256
214	70	255
215	70	255
216	70	255
217	71	254
218	71	254
219	71	254
220	71	253
221	72	253
222	72	252
223	72	252
224	73	252
225	73	251
226	73	251
227	74	250
228	74	250
229	74	250
230	74	249
231	75	249
232	75	248
233	75	248
234	76	247
235	76	247
236	76	247
237	77	246
238	77	246
239	77	245
240	77	245
241	78	244
242	78	244
243	78	244
244	79	244
245	79	243
246	79	243
247	80	242
248	80	243
249	80	242
250	81	242
251	81	242
252	81	241
253	82	241
254	82	241
255	83	241
256	83	240
257	83	240
258	84	240
259	84	240
260	84	239
261	85	239
262	85	239
263	85	238
264	85	238
265	86	237
266	86	237
267	86	236
268	87	236
269	87	236
270	87	236
271	88	235
272	88	235
273	88	234
274	89	234
275	89	234
276	89	233
277	89	233
278	90	233
279	90	232
280	90	232
281	91	231
282	91	231
283	91	231
284	92	230
285	92	230
286	92	230
287	93	230
288	93	229
289	93	229
290	93	228
291	94	228
292	94	227
293	94	227
294	95	227
295	95	227
296	95	226
297	96	226
298	96	226
299	96	225
300	97	225
301	97	225
302	97	224
303	98	224
304	98	224
305	98	223
306	98	223
307	99	223
308	99	222
309	99	222
310	100	222
311	100	221
312	100	221
313	101	221
314	101	220
315	101	220
316	102	220
317	102	219
318	102	219
319	103	219
320	103	218
321	103	218
322	104	218
323	104	217
324	104	217
325	105	217
326	105	216
327	105	216
328	106	216
329	106	215
330	106	215
331	107	215
332	107	215
333	107	214
334	108	214
335	108	214
336	108	213
337	109	213
338	109	213
339	109	212
340	110	212
341	110	212
342	110	211
343	110	211
344	111	211
345	111	210
346	111	210
347	112	209
348	112	209
349	112	209
350	113	208
351	113	208
352	113	208
353	113	207
354	114	207
355	114	207
356	114	206
357	115	206
358	115	206
359	115	206
360	116	205
361	116	205
362	116	205
363	117	204
364	117	204
365	117	203
366	118	203
367	118	203
368	118	203
369	119	202
370	119	202
371	119	201
372	119	201
373	120	201
374	120	200
375	120	200
376	121	200
377	121	199
378	121	199
379	122	199
380	122	198
381	122	198
382	123	198
383	123	198
384	123	197
385	124	197
386	124	197
387	124	196
388	125	196
389	125	196
390	125	195
391	125	195
392	126	195
393	126	194
394	127	194
395	127	194
396	127	193
397	127	193
398	128	193
399	128	192
400	128	192
401	129	191
402	129	191
403	129	191
404	130	191
405	130	190
406	130	190
407	131	190
408	131	189
409	131	189
410	132	189
411	132	189
412	132	188
413	132	188
414	133	187
415	133	187
416	133	187
417	134	186
418	134	186
419	134	186
420	134	185
421	135	185
422	135	184
423	135	184
424	136	184
425	136	184
426	136	183
427	137	183
428	137	183
429	137	182
430	138	182
431	138	182
432	138	181
433	139	181
434	139	180
435	139	180
436	139	180
437	140	179
438	140	179
439	140	179
440	141	178
441	141	178
442	141	178
443	141	177
444	142	177
445	142	177
446	142	176
447	143	176
448	143	176
449	143	175
450	144	175
451	144	175
452	144	174
453	145	174
454	145	174
455	145	174
456	146	173
457	146	173
458	146	172
459	146	172
460	147	172
461	147	171
462	147	171
463	148	171
464	148	170
465	148	170
466	149	170
467	149	169
468	149	169
469	150	169
470	150	168
471	150	168
472	150	168
473	151	167
474	151	167
475	151	167
476	152	166
477	152	166
478	152	166
479	152	165
480	153	165
481	153	164
482	153	164
483	153	164
484	154	163
485	154	163
486	154	163
487	155	162
488	155	162
489	155	162
490	156	161
491	156	161
492	156	161
493	157	161
494	157	160
495	157	160
496	158	160
497	158	159
498	158	159
499	159	159
500	159	158
501	159	158
502	160	158
503	160	157
504	160	157
505	161	157
506	161	157
507	161	156
508	162	156
509	162	155
510	162	155
511	162	155
512	163	154
513	163	154
514	163	154
515	164	153
516	164	153
517	164	153
518	164	152
519	165	152
520	165	152
521	165	151
522	166	151
523	166	151
524	166	150
525	166	150
526	167	150
527	167	149
528	167	149
529	167	148
530	168	148
531	168	148
532	168	147
533	169	147
534	169	147
535	169	146
536	169	146
537	170	146
538	170	145
539	170	145
540	171	145
541	171	144
542	171	144
543	172	144
544	172	143
545	172	143
546	173	143
547	173	142
548	173	142
549	173	142
550	174	141
551	174	141
552	174	141
553	174	140
554	175	140
555	175	140
556	175	139
557	175	139
558	176	139
559	176	138
560	176	138
561	177	138
562	177	137
563	177	137
564	178	137
565	178	136
566	178	136
567	178	136
568	179	135
569	179	135
570	179	135
571	180	134
572	180	134
573	180	134
574	181	133
575	181	133
576	181	133
577	182	132
578	182	132
579	182	132
580	182	131
581	183	131
582	183	131
583	183	130
584	183	130
585	184	130
586	184	129
587	184	129
588	185	129
589	185	128
590	185	128
591	185	128
592	186	127
593	186	127
594	186	127
595	186	126
596	187	126
597	187	126
598	187	125
599	188	125
600	188	124
601	188	124
602	188	124
603	188	123
604	189	123
605	189	123
606	189	122
607	190	122
608	190	122
609	190	121
610	190	121
611	191	121
612	191	120
613	191	120
614	191	120
615	192	119
616	192	119
617	192	119
618	192	118
619	193	118
620	193	118
621	193	117
622	194	117
623	194	117
624	194	116
625	194	116
626	195	116
627	195	115
628	195	115
629	195	115
630	196	114
631	196	114
632	196	114
633	197	113
634	197	113
635	197	113
636	197	112
637	198	112
638	198	112
639	198	111
640	198	111
641	199	111
642	199	110
643	199	110
644	199	110
645	200	109
646	200	109
647	200	109
648	201	108
649	201	108
650	201	108
651	201	107
652	202	107
653	202	107
654	202	106
655	202	106
656	203	106
657	203	105
658	203	105
659	204	105
660	204	104
661	204	104
662	204	104
663	205	103
664	205	103
665	205	103
666	205	102
667	206	102
668	206	102
669	206	101
670	206	101
671	207	101
672	207	100
673	207	100
674	208	100
675	208	99
676	208	99
677	208	99
678	209	98
679	209	98
680	209	98
681	210	97
682	210	97
683	210	97
684	210	96
685	211	96
686	211	96
687	211	96
688	211	95
689	212	95
690	212	95
691	212	94
692	212	94
693	213	94
694	213	93
695	213	93
696	213	93
697	214	92
698	214	92
699	214	92
700	215	91
701	215	91
702	215	91
703	215	90
704	216	90
705	216	90
706	216	89
707	217	89
708	217	89
709	217	88
710	217	88
711	218	88
712	218	87
713	218	87
714	219	87
715	219	86
716	219	86
717	219	86
718	220	86
719	220	85
720	220	85
721	220	85
722	221	84
723	221	84
724	221	84
725	221	83
726	222	83
727	222	83
728	222	82
729	223	82
730	223	82
731	223	81
732	223	81
733	224	81
734	224	80
735	224	80
736	225	80
737	225	80
738	225	79
739	225	79
740	226	79
741	226	78
742	226	78
743	227	78
744	227	77
745	227	77
746	227	77
747	228	76
748	228	76
749	228	76
750	229	75
751	229	75
752	229	75
753	229	74
754	230	74
755	230	74
756	230	74
757	230	73
758	231	73
759	231	73
760	231	72
761	232	72
762	232	72
763	232	71
764	232	71
765	233	71
766	233	70
767	233	70
768	233	70
769	234	69
770	234	69
771	234	69
772	234	68
773	235	68
774	235	68
775	235	68
776	235	67
777	236	67
778	236	67
779	236	66
780	237	66
781	237	66
782	237	65
783	237	65
784	237	65
785	238	64
786	238	64
787	238	64
788	239	63
789	239	63
790	239	63
791	240	63
792	240	62
793	240	62
794	240	62
795	241	61
796	241	61
797	241	61
798	241	60
799	242	60
800	242	60
801	242	59
802	242	59
803	243	59
804	243	58
805	243	58
806	243	58
807	244	58
808	244	57
809	244	57
810	245	57
811	245	56
812	245	56
813	245	56
814	246	55
815	246	55
816	246	55
817	246	54
818	247	54
819	247	54
820	247	54
821	247	53
822	248	53
823	248	53
824	248	52
825	249	52
826	249	52
827	249	51
828	249	51
829	250	51
830	250	50
831	250	50
832	251	50
833	251	50
834	251	49
835	251	49
836	252	49
837	252	48
838	252	48
839	252	48
840	253	47
841	253	47
842	253	47
843	253	46
844	254	46
845	254	46
846	254	46
847	254	45
848	255	45
849	255	45
850	255	44
851	256	44
852	256	44
853	256	43
854	256	43
855	257	43
856	257	42
857	257	42
858	258	42
859	258	42
860	258	41
861	258	41
862	259	41
863	259	40
864	259	40
865	259	40
866	260	39
867	260	39
868	260	39
869	260	38
870	261	38
871	261	38
872	261	38
873	262	37
874	262	37
875	262	37
876	262	36
877	263	36
878	263	36
879	263	35
880	264	35
881	264	35
882	264	35
883	264	34
884	265	34
885	265	34
886	265	33
887	265	33
888	266	33
889	266	32
890	266	32
891	266	32
892	267	32
893	267	31
894	267	31
895	267	31
896	268	30
897	268	30
898	268	30
899	269	29
900	269	29
901	269	29
902	269	28
903	270	28
904	270	28
905	270	28
906	270	27
907	271	27
908	271	27
909	271	26
910	271	26
911	272	26
912	272	25
913	272	25
914	273	25
915	273	25
916	273	24
917	273	24
918	274	24
919	274	23
920	274	23
921	274	23
922	275	22
923	275	22
924	275	22
925	276	22
926	276	21
927	276	21
928	276	21
929	277	20
930	277	20
931	277	20
932	277	19
933	278	19
934	278	19
935	278	19
936	278	18
937	279	18
938	279	18
939	279	17
940	279	17
941	280	17
942	280	16
943	280	16
944	281	16
945	281	16
946	281	15
947	281	15
